Date,Price
15/03/2010,"£172,500.00 "
,
,
,
22/06/2010,"£165,000.00 "
,
,
,
23/03/2010,"£120,000.00 "
,
,
,
14/05/2010,"£31,500.00 "
,
,
17/06/2010,"£162,500.00 "
,
,
12/03/2010,"£225,000.00 "
,
,
12/04/2010,"£85,000.00 "
,
,
17/03/2010,"£70,600 "
,
,
24/05/2010,"£80,000.00 "
,
,
,
04/06/2010,"£79,000.00 "
,
,
14/04/2010,"£145,000 "
,
,
,
04/02/2010,"£150,000.00 "
,
,
31/05/2010,"£120,000.00 "
,
,
,
10/05/2010,"£48,000 "
,
,
,
11/02/2010,"£80,000.00 "
,
,
,
14/01/2010,"£85,000.00 "
,
,
07/04/2010,"£114,000.00 "
,
,
,
09/06/2010,"£92,000.00 "
,
,
31/03/2010,"£225,000.00 "
,
,
07/01/2010,"£79,995.00 "
,
,
18/01/2010,"£77,000.00 "
,
,
01/04/2010,"£62,000.00 "
,
,
04/06/2010,"£120,000 "
,
,
,
08/03/2010,"£40,000.00 "
,
,
22/02/2010,"£98,000.00 "
,
,
,
13/05/2010,"£63,500.00 "
,
,
,
06/04/2010,"£87,000.00 "
,
,
,
05/03/2010,"£65,000.00 "
,
,
,
02/03/2010,"£89,995.00 "
,
,
,
08/06/2010,"£88,500.00 "
,
,
,
28/05/2010,"£100,000.00 "
,
,
,
04/06/2010,"£76,500.00 "
,
,
,
18/05/2010,"£103,000.00 "
,
,
,
12/03/2010,"£84,000.00 "
,
,
,
23/06/2010,"£245,000.00 "
,
,
,
08/01/2010,"£84,000.00 "
,
,
,
12/02/2010,"£85,000.00 "
,
,
,
01/06/2010,"£74,995.00 "
,
,
09/03/2010,"£72,000.00 "
,
,
,
,
16/06/2010,"£87,000.00 "
,
,
07/06/2010,"£132,995 "
,
,
,
18/05/2010,"£72,000.00 "
,
,
,
17/06/2010,"£78,000.00 "
,
,
,
24/02/2010,"£320,000.00 "
,
,
14/05/2010,"£114,000.00 "
,
,
02/03/2010,"£127,000.00 "
,
,
,
29/04/2010,"£75,000.00 "
,
,
03/03/2010,"£35,175 "
,
,
03/03/2010,"£75,000 "
,
,
29/06/2010,"£70,000.00 "
,
26/08/2010,"£80,000.00 "
,
,
,
13/12/2010,"£112,000.00 "
,
,
,
27/08/2010,"£236,350.00 "
,
,
15/10/2010,"£250,000.00 "
,
,
29/09/2010,"£75,000.00 "
,
,
13/10/2010,"£103,000 "
,
,
,
23/11/2010,"£73,000.00 "
,
,
19/11/2010,"£1,000.00 "
,
,
19/10/2010,"£75,000 "
,
,
09/11/2010,"£155,000.00 "
,
,
,
05/11/2010,"£106,500.00 "
,
,
,
24/12/2010,"£100,000.00 "
,
,
,
16/09/2010,"£235,000 "
,
,
03/08/2010,"£371,300.00 "
,
,
12/07/2010,"£68,000.00 "
,
,
,
25/10/2010,"£25,090.00 "
,
,
,
18/11/2010,"£72,000.00 "
,
,
,
03/12/2010,"£36,000.00 "
,
,
,
02/07/2010,"£90,000.00 "
,
,
,
04/11/2010,"£42,000.00 "
,
,
17/11/2010,"£110,000.00 "
,
,
,
21/12/2010,"£245,500 "
,
,
10/09/2010,"£67,000 "
,
,
18/11/2010,"£77,000.00 "
,
,
31/08/2010,"£81,000.00 "
,
,
16/11/2010,"£50,050.00 "
,
,
07/09/2010,"£95,000.00 "
,
,
12/07/2010,"£35,000.00 "
,
,
12/07/2010,"£68,000.00 "
,
,
04/11/2010,"£78,000.00 "
,
,
01/09/2010,"£78,500.00 "
,
,
,
17/11/2010,"£93,000 "
,
,
,
27/10/2010,"£104,995.00 "
,
,
,
29/09/2010,"£365,000.00 "
,
,
12/07/2010,"£275,500 "
,
,
25/08/2010,"£131,250 "
,
,
,
11/10/2010,"£220,000.00 "
,
,
,
25/10/2010,"£211,564 "
,
,
10/09/2010,"£195,000.00 "
,
,
05/08/2010,"£129,995.00 "
,
,
,
16/11/2010,"£85,000.00 "
,
,
,
05/08/2010,"£69,000.00 "
,
,
,
23/07/2010,"£124,995 "
,
,
,
07/07/2010,"£79,200.00 "
,
,
,
10/11/2010,"£209,995.00 "
,
,
08/11/2010,"£210,000.00 "
,
,
14/12/2010,"£313,000.00 "
,
,
05/07/2010,"£286,000.00 "
,
,
31/08/2010,"£350,000.00 "
,
,
23/09/2010,"£120,000.00 "
,
,
04/05/2011,"£162,500.00 "
,
,
,
09/02/2011,"£117,500.00 "
,
,
,
14/04/2011,"£57,500.00 "
,
,
,
15/03/2011,"£81,250.00 "
,
,
12/04/2011,"£75,000.00 "
,
,
26/01/2011,"£134,000.00 "
,
,
,
15/06/2011,"£50,000.00 "
,
,
,
15/03/2011,"£57,000.00 "
,
,
,
,
06/05/2011,"£84,000.00 "
,
,
,
08/02/2011,"£93,000.00 "
,
,
,
,
18/05/2011,"£217,000 "
,
,
,
04/05/2011,"£80,000.00 "
,
,
19/04/2011,"£70,000.00 "
,
,
02/05/2011,"£89,950 "
,
,
01/04/2011,"£75,000.00 "
,
,
21/01/2011,"£105,000.00 "
,
,
27/04/2011,"£75,000.00 "
,
,
26/05/2011,"£37,500 "
,
,
24/05/2011,"£29,000.00 "
,
,
24/03/2011,"£90,000.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
,
10/03/2011,"£84,500.00 "
,
,
,
26/01/2011,"£76,000.00 "
,
,
,
03/06/2011,"£131,250.00 "
,
,
,
14/06/2011,"£370,000.00 "
,
,
,
07/03/2011,"£92,000 "
,
,
,
22/04/2011,"£75,000.00 "
,
,
,
07/03/2011,"£75,000.00 "
,
,
26/01/2011,"£192,500.00 "
,
,
30/06/2011,"£320,000.00 "
,
,
14/04/2011,"£230,000 "
,
,
04/03/2011,"£85,000.00 "
,
,
,
21/06/2011,"£63,000.00 "
,
,
17/03/2011,"£50,000.00 "
,
,
07/04/2011,"£50,000.00 "
,
,
02/05/2011,"£42,000.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
28/02/2011,"£101,500.00 "
,
,
06/01/2011,"£92,000.00 "
,
,
14/03/2011,"£88,500 "
,
,
,
30/05/2011,"£104,000.00 "
,
,
,
13/01/2011,"£75,000.00 "
,
,
20/10/2011,"£240,000.00 "
,
,
15/11/2011,"£171,000 "
,
,
02/12/2011,"£180,000.00 "
,
,
27/07/2011,"£75,000.00 "
,
,
05/07/2011,"£125,000 "
,
,
04/11/2011,"£170,000.00 "
,
,
02/12/2011,"£69,000.00 "
,
,
17/10/2011,"£395,000 "
,
,
28/07/2011,"£8,000.00 "
,
,
06/07/2011,"£75,000 "
,
,
12/12/2011,"£140,000.00 "
,
,
05/07/2011,"£70,000.00 "
,
,
,
29/11/2011,"£1,168,500 "
,
,
29/11/2011,"£1,168,500 "
,
,
29/11/2011,"£1,168,500 "
,
,
29/11/2011,"£1,168,500 "
,
,
16/12/2011,"£238,050 "
,
,
14/09/2011,"£245,000 "
,
,
31/08/2011,"£64,500.00 "
,
,
,
16/11/2011,"£33,000 "
,
,
,
16/12/2011,"£76,000 "
,
,
02/12/2011,"£55,000.00 "
,
,
03/08/2011,"£63,000.00 "
,
,
23/08/2011,"£81,000.00 "
,
,
19/12/2011,"£45,000.00 "
,
,
23/09/2011,"£74,000.00 "
,
,
,
04/08/2011,"£90,000.00 "
,
,
,
31/10/2011,"£270,000.00 "
,
,
03/11/2011,"£325,000.00 "
,
,
26/08/2011,"£300,000.00 "
,
,
09/09/2011,"£82,000.00 "
,
,
,
29/07/2011,"£88,000.00 "
,
,
,
06/10/2011,"£285,000 "
,
,
12/08/2011,"£462,128 "
,
,
05/07/2011,"£195,000.00 "
,
,
12/07/2011,"£109,995.00 "
,
,
,
06/07/2011,"£106,995.00 "
,
,
,
31/10/2011,"£130,000 "
,
,
13/10/2011,"£177,800.00 "
,
,
10/10/2011,"£186,500 "
,
,
22/11/2011,"£165,000 "
,
,
01/12/2011,"£250,000 "
,
,
19/08/2011,"£290,000.00 "
,
,
02/11/2011,"£331,295.00 "
,
,
23/12/2011,"£278,000.00 "
,
,
10/10/2011,"£105,000.00 "
,
,
07/09/2011,"£143,500.00 "
,
,
01/12/2011,"£83,500.00 "
,
,
03/08/2011,"£70,000.00 "
,
,
,
30/12/2011,"£79,950.00 "
,
,
03/04/2012,"£221,000.00 "
,
,
,
20/06/2012,"£110,000 "
,
,
,
07/05/2012,"£175,000 "
,
,
,
06/04/2012,"£147,500.00 "
,
,
23/04/2012,"£100,000 "
,
,
05/04/2012,"£93,000.00 "
,
,
16/02/2012,"£65,000.00 "
,
,
,
09/05/2012,"£58,500 "
,
,
,
27/01/2012,"£72,000.00 "
,
,
09/05/2012,"£78,000 "
,
,
,
06/03/2012,"£70,000.00 "
,
,
26/03/2012,"£79,000.00 "
,
,
05/03/2012,"£82,000.00 "
,
,
18/06/2012,"£412,500 "
,
,
26/03/2012,"£131,077.00 "
,
,
,
01/02/2012,£1.00 
,
,
19/01/2012,"£300,000 "
,
,
15/05/2012,"£128,000.00 "
,
,
21/06/2012,"£70,000 "
,
,
,
28/05/2012,"£47,500 "
,
,
,
31/01/2012,"£49,000.00 "
,
,
,
24/04/2012,"£193,500 "
,
,
11/05/2012,"£105,000 "
,
,
09/01/2012,"£55,000.00 "
,
,
30/05/2012,"£90,000 "
,
,
23/05/2012,"£28,500 "
,
,
,
11/05/2012,"£75,000 "
,
,
,
06/04/2012,"£40,000.00 "
,
,
,
,
26/06/2012,"£212,000 "
,
,
,
30/03/2012,"£52,000.00 "
,
,
27/02/2012,"£64,000.00 "
,
,
13/06/2012,"£42,500 "
,
,
,
01/05/2012,"£245,000 "
,
,
27/06/2012,"£180,000 "
,
,
19/04/2012,"£165,000 "
,
,
25/05/2012,"£380,000 "
,
,
09/05/2012,"£302,500 "
,
,
30/04/2012,"£41,000 "
,
,
10/05/2012,"£70,000 "
,
,
,
03/05/2012,"£90,000 "
,
,
05/04/2012,"£28,000.00 "
,
,
26/04/2012,"£200,000 "
,
,
,
07/06/2012,"£60,500 "
,
,
,
12/01/2012,"£155,000.00 "
,
,
03/04/2012,"£148,000.00 "
,
,
13/02/2012,"£110,000.00 "
,
,
07/02/2012,"£32,000.00 "
,
,
,
25/01/2012,"£63,000.00 "
,
,
23/03/2012,"£22,200.00 "
,
,
,
08/02/2012,"£100,000.00 "
,
25/07/2012,"£150,000 "
,
,
,
27/08/2012,"£106,000 "
,
,
,
12/07/2012,"£166,000 "
,
,
15/11/2012,"£70,000 "
,
,
11/12/2012,"£65,000 "
,
,
22/08/2012,"£111,000 "
,
,
19/12/2012,"£40,000 "
,
,
,
12/09/2012,"£56,481.25 "
,
,
12/09/2012,"£56,481.25 "
,
,
17/09/2012,"£105,081.25 "
,
,
17/09/2012,"£105,081.25 "
,
,
19/12/2012,"£83,000 "
,
,
,
10/07/2012,"£102,500 "
,
,
,
29/08/2012,"£69,000 "
,
,
,
19/12/2012,"£60,000 "
,
,
,
27/08/2012,"£18,000 "
,
,
04/10/2012,"£132,000 "
,
,
17/09/2012,"£85,000 "
,
,
08/10/2012,"£70,000 "
,
,
24/07/2012,"£467,000 "
,
,
01/11/2012,"£124,995 "
,
,
,
26/07/2012,"£137,500 "
,
,
,
25/10/2012,"£125,000 "
,
,
,
18/12/2012,"£142,000 "
,
,
,
05/09/2012,"£137,000 "
,
,
,
24/12/2012,"£54,500 "
,
,
10/12/2012,"£243,000 "
,
,
12/07/2012,"£72,000 "
,
,
,
03/07/2012,"£29,700 "
,
,
,
05/10/2012,"£66,280 "
,
,
,
27/08/2012,"£38,400 "
,
,
,
10/07/2012,"£15,000 "
,
,
17/08/2012,"£184,000 "
,
,
17/12/2012,"£198,000 "
,
,
19/09/2012,"£73,000 "
,
,
06/11/2012,"£97,000 "
,
,
12/07/2012,"£36,000 "
,
,
03/10/2012,"£55,000 "
,
,
09/08/2012,"£30,000 "
,
,
16/11/2012,"£64,000 "
,
,
,
30/08/2012,"£67,000 "
,
,
,
,
05/10/2012,"£68,500 "
,
,
,
26/11/2012,"£57,000 "
,
,
,
08/08/2012,"£280,500 "
,
,
05/10/2012,"£45,000 "
,
,
09/11/2012,"£54,000 "
,
,
,
02/07/2012,"£30,000 "
,
,
,
08/08/2012,"£295,799 "
,
,
22/10/2012,"£280,000 "
,
,
29/11/2012,"£280,000 "
,
18/04/2013,"£100,000 "
,
,
,
26/06/2013,"£193,000 "
,
,
05/02/2013,"£72,000 "
,
,
27/06/2013,"£60,000 "
,
,
05/06/2013,"£240,000 "
,
,
23/05/2013,"£245,000 "
,
,
01/05/2013,"£40,000 "
,
,
31/05/2013,"£60,495 "
,
,
12/06/2013,"£247,366 "
,
,
,
02/04/2013,"£57,000 "
,
,
,
25/02/2013,"£50,500 "
,
,
,
04/04/2013,"£64,500 "
,
,
24/01/2013,"£71,000 "
,
,
,
26/02/2013,"£150,000 "
,
,
20/05/2013,"£300,000 "
,
,
06/02/2013,"£230,231 "
,
,
20/05/2013,"£245,500 "
,
,
01/02/2013,"£190,000 "
,
,
28/06/2013,"£87,500 "
,
,
13/03/2013,"£105,000 "
,
,
09/01/2013,"£40,000 "
,
,
,
03/06/2013,"£42,000 "
,
,
,
26/02/2013,"£57,000 "
,
,
,
04/04/2013,"£68,527 "
,
,
,
13/02/2013,"£105,000 "
,
,
,
10/04/2013,"£212,000 "
,
,
,
18/04/2013,"£173,000 "
,
,
07/02/2013,"£43,150 "
,
,
20/05/2013,"£52,000 "
,
,
21/01/2013,"£82,000 "
,
,
01/02/2013,"£70,000 "
,
,
14/03/2013,"£59,500 "
,
,
24/06/2013,"£72,500 "
,
,
22/04/2013,"£61,000 "
,
,
07/06/2013,"£50,000 "
,
,
,
02/05/2013,"£87,000 "
,
,
,
31/01/2013,"£249,995 "
,
,
18/02/2013,"£50,001 "
,
,
,
01/03/2013,"£22,000 "
,
,
,
22/03/2013,"£46,000 "
,
,
,
17/05/2013,"£299,000 "
,
,
22/04/2013,"£102,000 "
,
,
,
20/06/2013,"£186,226 "
,
,
05/02/2013,"£315,650 "
,
,
13/02/2013,"£365,111 "
,
,
05/04/2013,"£84,770 "
,
,
05/04/2013,"£135,000 "
,
,
14/05/2013,"£40,000 "
,
,
,
30/04/2013,"£135,000 "
,
,
25/03/2013,"£130,000 "
,
07/11/2013,"£84,000 "
,
,
,
13/12/2013,"£90,000 "
,
,
,
31/10/2013,"£80,000 "
,
,
,
15/07/2013,"£377,500 "
,
,
20/12/2013,"£57,000 "
,
,
31/10/2013,"£70,000 "
,
,
,
23/07/2013,"£92,000 "
,
,
12/11/2013,"£73,000 "
,
,
20/11/2013,"£63,000 "
,
,
13/11/2013,"£75,000 "
,
,
,
31/07/2013,"£275,000 "
,
,
,
12/11/2013,"£47,500 "
,
,
11/11/2013,"£50,000 "
,
,
,
04/12/2013,"£64,000 "
,
,
,
03/10/2013,"£30,000 "
,
,
,
20/09/2013,"£56,500 "
,
,
,
04/10/2013,"£145,000 "
,
,
,
11/12/2013,"£155,000 "
,
,
,
30/10/2013,"£80,000 "
,
,
30/10/2013,"£80,000 "
,
,
30/10/2013,"£80,000 "
,
,
30/10/2013,"£80,000 "
,
,
20/08/2013,"£120,000 "
,
,
,
08/10/2013,£1.00 
,
,
31/07/2013,"£82,500 "
,
,
,
25/09/2013,"£78,500 "
,
,
,
04/09/2013,"£302,500 "
,
,
13/09/2013,"£30,000 "
,
,
19/12/2013,"£80,000 "
,
,
20/12/2013,"£67,000 "
,
,
,
21/08/2013,"£65,000 "
,
,
,
16/10/2013,"£78,500 "
,
,
,
23/09/2013,"£70,000 "
,
,
21/11/2013,"£61,000 "
,
,
11/07/2013,"£54,500 "
,
,
20/11/2013,"£48,000 "
,
,
24/12/2013,"£73,000 "
,
,
25/10/2013,"£88,000 "
,
,
06/11/2013,"£99,500 "
,
,
19/07/2013,"£80,000 "
,
,
19/07/2013,"£80,000 "
,
,
09/09/2013,"£70,000 "
,
,
17/10/2013,"£73,000 "
,
,
21/08/2013,"£78,500 "
,
,
21/08/2013,"£78,500 "
,
,
21/10/2013,"£49,000 "
,
,
16/12/2013,"£64,500 "
,
,
,
04/11/2013,"£70,000 "
,
,
,
04/11/2013,"£71,000 "
,
,
,
12/09/2013,"£59,000 "
,
,
09/06/2014,"£176,000 "
,
,
,
14/02/2014,"£176,350 "
,
,
20/01/2014,"£85,000 "
,
,
27/05/2014,"£261,283 "
,
,
05/06/2014,"£235,000 "
,
,
07/05/2014,"£54,000 "
,
,
08/01/2014,"£85,000 "
,
,
,
,
31/01/2014,"£82,995 "
,
,
,
14/01/2014,"£74,000 "
,
,
,
,
21/01/2014,"£53,000 "
,
,
18/02/2014,"£70,000 "
,
,
30/05/2014,"£275,000 "
,
,
,
30/05/2014,"£275,000 "
,
,
08/04/2014,"£93,000 "
,
,
